k,T,best_cost,current_cost
2981,2.5333220660834073,-320,-300
2982,2.530788744017324,-320,-300
2983,2.528257955273306,-320,-300
2984,2.525729697318033,-320,-300
2985,2.523203967620715,-320,-300
2986,2.5206807636530946,-320,-300
2987,2.5181600828894415,-320,-300
2988,2.5156419228065516,-320,-300
2989,2.5131262808837453,-320,-300
2990,2.5106131546028614,-320,-300
2991,2.5081025414482587,-320,-300
2992,2.5055944389068103,-320,-300
2993,2.5030888444679036,-320,-300
2994,2.500585755623436,-320,-300
2995,2.498085169867812,-320,-300
2996,2.495587084697944,-320,-300
2997,2.4930914976132463,-320,-300
2998,2.4905984061156334,-320,-300
2999,2.4881078077095173,-320,-300
3000,2.485619699901808,-320,-300
3001,2.483134080201906,-320,-300
3002,2.4806509461217043,-320,-300
3003,2.4781702951755826,-320,-300
3004,2.475692124880407,-320,-300
3005,2.473216432755527,-320,-300
3006,2.470743216322771,-320,-300
3007,2.4682724731064485,-320,-300
3008,2.465804200633342,-320,-300
3009,2.4633383964327087,-320,-300
3010,2.4608750580362755,-320,-300
3011,2.4584141829782395,-320,-300
3012,2.4559557687952616,-320,-300
3013,2.4534998130264665,-320,-300
3014,2.45104631321344,-320,-300
3015,2.448595266900226,-320,-300
3016,2.4461466716333256,-320,-300
3017,2.4437005249616925,-320,-300
3018,2.441256824436731,-320,-300
3019,2.4388155676122945,-320,-300
3020,2.4363767520446817,-320,-300
3021,2.4339403752926367,-320,-300
3022,2.4315064349173445,-320,-300
3023,2.4290749284824273,-320,-300
3024,2.4266458535539446,-320,-300
3025,2.4242192077003906,-320,-300
3026,2.4217949884926906,-320,-300
3027,2.4193731935041978,-320,-300
3028,2.4169538203106935,-320,-300
3029,2.414536866490383,-320,-300
3030,2.4121223296238927,-320,-300
3031,2.4097102072942684,-320,-300
3032,2.407300497086974,-320,-300
3033,2.4048931965898874,-320,-300
3034,2.4024883033932976,-320,-300
3035,2.4000858150899043,-320,-300
3036,2.3976857292748144,-320,-300
3037,2.3952880435455395,-320,-300
3038,2.392892755501994,-320,-300
3039,2.3904998627464917,-320,-300
3040,2.3881093628837453,-320,-300
3041,2.3857212535208614,-320,-300
3042,2.383335532267341,-320,-300
3043,2.3809521967350733,-320,-300
3044,2.3785712445383385,-320,-300
3045,2.3761926732938,-320,-300
3046,2.373816480620506,-320,-300
3047,2.3714426641398854,-320,-300
3048,2.3690712214757457,-320,-300
3049,2.36670215025427,-320,-300
3050,2.3643354481040157,-320,-300
3051,2.3619711126559118,-320,-300
3052,2.359609141543256,-320,-300
3053,2.3572495324017124,-320,-300
3054,2.3548922828693106,-320,-300
3055,2.3525373905864417,-320,-300
3056,2.3501848531958554,-320,-300
3057,2.347834668342659,-320,-300
3058,2.3454868336743164,-320,-300
3059,2.343141346840642,-320,-300
3060,2.3407982054938015,-320,-300
3061,2.338457407288308,-320,-300
3062,2.3361189498810195,-320,-300
3063,2.333782830931139,-320,-300
3064,2.331449048100207,-320,-300
3065,2.329117599052107,-320,-300
3066,2.326788481453055,-320,-300
3067,2.324461692971602,-320,-300
3068,2.3221372312786306,-320,-300
3069,2.319815094047352,-320,-300
3070,2.317495278953304,-320,-300
3071,2.3151777836743515,-320,-300
3072,2.3128626058906767,-320,-300
3073,2.310549743284786,-320,-300
3074,2.308239193541501,-320,-300
3075,2.30593095434796,-320,-300
3076,2.3036250233936117,-320,-300
3077,2.301321398370218,-320,-300
3078,2.299020076971848,-320,-300
3079,2.296721056894876,-320,-300
3080,2.2944243358379817,-320,-300
3081,2.292129911502143,-320,-300
3082,2.289837781590641,-320,-300
3083,2.2875479438090505,-320,-300
3084,2.2852603958652415,-320,-300
3085,2.282975135469376,-320,-300
3086,2.2806921603339068,-320,-300
3087,2.278411468173573,-320,-300
3088,2.2761330567053992,-320,-300
3089,2.2738569236486943,-320,-300
3090,2.271583066725045,-320,-300
3091,2.26931148365832,-320,-300
3092,2.2670421721746616,-320,-300
3093,2.264775130002487,-320,-300
3094,2.2625103548724845,-320,-300
3095,2.260247844517612,-320,-300
3096,2.2579875966730945,-320,-300
3097,2.2557296090764214,-320,-300
3098,2.2534738794673452,-320,-300
3099,2.251220405587878,-320,-300
3100,2.24896918518229,-320,-300
3101,2.2467202159971076,-320,-300
3102,2.2444734957811106,-320,-300
3103,2.242229022285329,-320,-300
3104,2.239986793263044,-320,-300
3105,2.2377468064697807,-320,-300
3106,2.235509059663311,-320,-300
3107,2.233273550603648,-320,-300
3108,2.231040277053044,-320,-300
3109,2.2288092367759913,-320,-300
3110,2.2265804275392154,-320,-300
3111,2.224353847111676,-320,-300
3112,2.2221294932645645,-320,-300
3113,2.2199073637713,-320,-300
3114,2.2176874564075284,-320,-300
3115,2.215469768951121,-320,-300
3116,2.2132542991821698,-320,-300
3117,2.211041044882988,-320,-300
3118,2.208830003838105,-320,-300
3119,2.2066211738342667,-320,-300
3120,2.2044145526604324,-320,-300
3121,2.202210138107772,-320,-300
3122,2.200007927969664,-320,-300
3123,2.1978079200416945,-320,-300
3124,2.1956101121216527,-320,-300
3125,2.193414502009531,-320,-300
3126,2.1912210875075213,-320,-300
3127,2.189029866420014,-320,-300
3128,2.186840836553594,-320,-300
3129,2.1846539957170403,-320,-300
3130,2.1824693417213235,-320,-300
3131,2.180286872379602,-320,-300
3132,2.1781065855072224,-320,-300
3133,2.175928478921715,-320,-300
3134,2.1737525504427935,-320,-300
3135,2.1715787978923506,-320,-300
3136,2.169407219094458,-320,-300
3137,2.167237811875364,-320,-300
3138,2.165070574063489,-320,-300
3139,2.1629055034894247,-320,-300
3140,2.160742597985936,-320,-300
3141,2.1585818553879497,-320,-300
3142,2.1564232735325617,-320,-300
3143,2.154266850259029,-320,-300
3144,2.15211258340877,-320,-300
3145,2.1499604708253615,-320,-300
3146,2.1478105103545357,-320,-300
3147,2.1456626998441815,-320,-300
3148,2.143517037144337,-320,-300
3149,2.141373520107193,-320,-300
3150,2.139232146587086,-320,-300
3151,2.1370929144404984,-320,-300
3152,2.134955821526058,-320,-300
3153,2.1328208657045318,-320,-300
3154,2.1306880448388275,-320,-300
3155,2.1285573567939884,-320,-300
3156,2.1264287994371944,-320,-300
3157,2.1243023706377575,-320,-300
3158,2.12217806826712,-320,-300
3159,2.1200558901988527,-320,-300
3160,2.117935834308654,-320,-300
3161,2.1158178984743454,-320,-300
3162,2.113702080575871,-320,-300
3163,2.111588378495295,-320,-300
3164,2.1094767901167994,-320,-300
3165,2.107367313326683,-320,-300
3166,2.1052599460133563,-320,-300
3167,2.1031546860673425,-320,-300
3168,2.1010515313812754,-320,-300
3169,2.098950479849894,-320,-300
3170,2.0968515293700443,-320,-300
3171,2.094754677840674,-320,-300
3172,2.0926599231628336,-320,-300
3173,2.0905672632396706,-320,-300
3174,2.0884766959764307,-320,-300
